assetCode,windowTimestamp,Open,High,Low,Last
Wc1,1999-09-08T14:00:00.000000000Z,274.5,275.0,274.0,274.75
Wc1,1999-09-08T15:00:00.000000000Z,275.0,275.0,273.0,273.5
Wc1,1999-09-08T16:00:00.000000000Z,273.5,273.5,273.0,273.25
Wc1,1999-09-08T17:00:00.000000000Z,273.0,273.75,272.5,273.0
Wc1,1999-09-08T18:00:00.000000000Z,272.75,273.0,269.0,269.0
Wc1,1999-09-09T02:00:00.000000000Z,269.0,269.0,269.0,269.0
Wc1,1999-09-09T14:00:00.000000000Z,269.5,271.75,269.5,270.25
Wc1,1999-09-09T15:00:00.000000000Z,270.5,270.5,269.5,270.0
Wc1,1999-09-09T16:00:00.000000000Z,270.0,271.0,270.0,270.75
Wc1,1999-09-09T17:00:00.000000000Z,270.5,270.5,269.5,269.5
Wc1,1999-09-09T18:00:00.000000000Z,269.5,270.0,269.5,270.0
Wc1,1999-09-10T02:00:00.000000000Z,266.0,266.0,266.0,266.0
Wc1,1999-09-13T02:00:00.000000000Z,266.25,266.25,266.25,266.25
Wc1,1999-09-13T03:00:00.000000000Z,266.0,266.0,266.0,266.0
Wc1,1999-09-13T14:00:00.000000000Z,274.0,275.0,272.0,274.5
Wc1,1999-09-13T15:00:00.000000000Z,274.0,274.0,272.0,273.0
Wc1,1999-09-13T16:00:00.000000000Z,273.5,274.5,273.5,274.5
Wc1,1999-09-13T17:00:00.000000000Z,274.5,275.5,273.0,274.5
Wc1,1999-09-13T18:00:00.000000000Z,274.5,275.0,274.0,274.25
Wc1,1999-09-14T02:00:00.000000000Z,266.0,266.0,266.0,266.0
Wc1,1999-09-14T14:00:00.000000000Z,271.5,274.0,270.5,274.0
Wc1,1999-09-14T15:00:00.000000000Z,273.5,273.5,271.5,272.0
Wc1,1999-09-14T17:00:00.000000000Z,272.0,272.5,271.5,272.5
Wc1,1999-09-14T18:00:00.000000000Z,272.75,274.0,272.75,274.0
Wc1,1999-09-15T02:00:00.000000000Z,266.0,266.0,266.0,266.0
Wc1,1999-09-15T14:00:00.000000000Z,271.0,272.0,267.0,267.0
Wc1,1999-09-15T15:00:00.000000000Z,267.5,267.5,266.75,267.25
Wc1,1999-09-15T16:00:00.000000000Z,267.0,267.0,265.0,265.0
Wc1,1999-09-15T17:00:00.000000000Z,265.5,265.5,264.0,264.0
Wc1,1999-09-15T18:00:00.000000000Z,263.0,263.0,261.0,261.5
Wc1,1999-09-16T02:00:00.000000000Z,258.0,258.0,258.0,258.0
Wc1,1999-09-16T03:00:00.000000000Z,261.5,261.5,261.5,261.5
Wc1,1999-09-16T14:00:00.000000000Z,262.0,262.0,260.25,261.0
Wc1,1999-09-16T15:00:00.000000000Z,261.5,261.5,259.0,259.0
Wc1,1999-09-16T16:00:00.000000000Z,258.5,258.5,258.0,258.25
Wc1,1999-09-16T17:00:00.000000000Z,258.5,260.75,258.5,260.75
Wc1,1999-09-16T18:00:00.000000000Z,261.0,263.5,261.0,263.25
Wc1,1999-09-17T14:00:00.000000000Z,263.0,264.0,260.75,261.0
Wc1,1999-09-17T15:00:00.000000000Z,260.5,260.5,259.75,259.75
Wc1,1999-09-17T16:00:00.000000000Z,259.75,261.0,259.75,261.0
Wc1,1999-09-17T17:00:00.000000000Z,261.5,262.75,261.5,262.75
Wc1,1999-09-17T18:00:00.000000000Z,263.0,264.0,262.5,262.5
Wc1,1999-09-20T14:00:00.000000000Z,261.0,261.25,261.0,261.25
Wc1,1999-09-20T15:00:00.000000000Z,261.5,262.0,259.25,259.25
Wc1,1999-09-20T16:00:00.000000000Z,259.25,260.0,259.25,260.0
Wc1,1999-09-20T17:00:00.000000000Z,260.0,260.5,259.75,260.5
Wc1,1999-09-20T18:00:00.000000000Z,260.5,260.5,259.0,259.0
Wc1,1999-09-21T02:00:00.000000000Z,250.0,250.0,250.0,250.0
Wc1,1999-09-21T14:00:00.000000000Z,259.5,260.0,259.0,260.0
Wc1,1999-09-21T15:00:00.000000000Z,259.5,259.5,255.0,257.5
