#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last
JNIc1,JNIH7,Market Price,2017-01-06T14:00:00.000000000Z,9,Intraday 1Hour,19540.0,19580.0,19500.0,19550.0
JNIc1,JNIH7,Market Price,2017-01-06T15:00:00.000000000Z,9,Intraday 1Hour,19550.0,19560.0,19520.0,19540.0
JNIc1,JNIH7,Market Price,2017-01-06T16:00:00.000000000Z,9,Intraday 1Hour,19550.0,19600.0,19540.0,19580.0
JNIc1,JNIH7,Market Price,2017-01-06T17:00:00.000000000Z,9,Intraday 1Hour,19580.0,19610.0,19580.0,19600.0
JNIc1,JNIH7,Market Price,2017-01-06T18:00:00.000000000Z,9,Intraday 1Hour,19590.0,19620.0,19590.0,19610.0
JNIc1,JNIH7,Market Price,2017-01-06T19:00:00.000000000Z,9,Intraday 1Hour,19610.0,19610.0,19590.0,19600.0
JNIc1,JNIH7,Market Price,2017-01-06T20:00:00.000000000Z,9,Intraday 1Hour,19600.0,19600.0,19590.0,19600.0
JNIc1,JNIH7,Market Price,2017-01-09T23:00:00.000000000Z,9,Intraday 1Hour,19400.0,19430.0,19380.0,19390.0
JNIc1,JNIH7,Market Price,2017-01-10T00:00:00.000000000Z,9,Intraday 1Hour,19400.0,19410.0,19350.0,19380.0
JNIc1,JNIH7,Market Price,2017-01-10T01:00:00.000000000Z,9,Intraday 1Hour,19380.0,19430.0,19350.0,19410.0
JNIc1,JNIH7,Market Price,2017-01-10T02:00:00.000000000Z,9,Intraday 1Hour,19410.0,19470.0,19350.0,19360.0
JNIc1,JNIH7,Market Price,2017-01-10T03:00:00.000000000Z,9,Intraday 1Hour,19360.0,19370.0,19240.0,19250.0
JNIc1,JNIH7,Market Price,2017-01-10T04:00:00.000000000Z,9,Intraday 1Hour,19240.0,19320.0,19230.0,19310.0
JNIc1,JNIH7,Market Price,2017-01-10T05:00:00.000000000Z,9,Intraday 1Hour,19310.0,19330.0,19270.0,19290.0
JNIc1,JNIH7,Market Price,2017-01-10T06:00:00.000000000Z,9,Intraday 1Hour,19290.0,19310.0,19270.0,19310.0
JNIc1,JNIH7,Market Price,2017-01-10T07:00:00.000000000Z,9,Intraday 1Hour,19340.0,19360.0,19340.0,19340.0
JNIc1,JNIH7,Market Price,2017-01-10T08:00:00.000000000Z,9,Intraday 1Hour,19350.0,19370.0,19300.0,19320.0
JNIc1,JNIH7,Market Price,2017-01-10T09:00:00.000000000Z,9,Intraday 1Hour,19320.0,19370.0,19310.0,19370.0
JNIc1,JNIH7,Market Price,2017-01-10T10:00:00.000000000Z,9,Intraday 1Hour,19370.0,19390.0,19350.0,19370.0
JNIc1,JNIH7,Market Price,2017-01-10T11:00:00.000000000Z,9,Intraday 1Hour,19370.0,19380.0,19350.0,19350.0
JNIc1,JNIH7,Market Price,2017-01-10T12:00:00.000000000Z,9,Intraday 1Hour,19350.0,19390.0,19340.0,19370.0
JNIc1,JNIH7,Market Price,2017-01-10T13:00:00.000000000Z,9,Intraday 1Hour,19370.0,19380.0,19360.0,19370.0
JNIc1,JNIH7,Market Price,2017-01-10T14:00:00.000000000Z,9,Intraday 1Hour,19370.0,19380.0,19300.0,19310.0
JNIc1,JNIH7,Market Price,2017-01-10T15:00:00.000000000Z,9,Intraday 1Hour,19320.0,19350.0,19300.0,19330.0
JNIc1,JNIH7,Market Price,2017-01-10T16:00:00.000000000Z,9,Intraday 1Hour,19330.0,19370.0,19330.0,19370.0
JNIc1,JNIH7,Market Price,2017-01-10T17:00:00.000000000Z,9,Intraday 1Hour,19370.0,19420.0,19370.0,19370.0
